clock_cycle,channel,rank,bankgroup,bank,row,column,row_hit_rate,consec_hits,dist_from_last_hit,diff_accesses,label
19,0,0,0,0,8049,44,0.0,0,-1,0.0,open
24,0,1,2,2,6999,76,0.0,0,-1,0.0,closed
47,0,0,0,0,8049,45,0.5,1,28,1.0,open
75,0,0,0,0,8049,46,0.6667,2,28,2.0,closed
88,0,0,3,3,4948,75,0.0,0,-1,0.0,open
90,0,1,3,3,2521,14,0.0,0,-1,0.0,closed
92,0,0,1,2,4054,18,0.0,0,-1,0.0,open
96,0,0,3,2,5360,40,0.0,0,-1,0.0,open
97,0,1,3,0,5735,63,0.0,0,-1,0.0,closed
100,0,0,2,2,6960,5,0.0,0,-1,0.0,open
114,0,0,1,1,487,69,0.0,0,-1,0.0,closed
118,0,0,0,3,5504,56,0.0,0,-1,0.0,open
120,0,0,3,3,4948,74,0.5,1,32,1.0,open
124,0,0,2,2,6960,0,0.5,1,24,1.0,open
128,0,0,3,3,4948,87,0.6667,2,8,2.0,open
140,0,0,3,3,4948,88,0.75,3,12,3.0,open
144,0,0,0,3,5504,57,0.5,1,26,1.0,open
148,0,0,3,2,5360,38,0.5,1,52,1.0,open
152,0,0,1,2,4054,45,0.5,1,60,1.0,open
153,0,0,1,1,352,112,0.0,0,-1,0.0,open
156,0,0,3,2,5360,36,0.6667,2,8,2.0,open
160,0,0,1,2,4054,43,0.6667,2,8,2.0,open
164,0,0,2,2,6960,2,0.6667,2,40,2.0,open
168,0,0,3,2,5360,41,0.75,3,12,3.0,open
172,0,0,0,3,5504,63,0.6667,2,28,2.0,open
185,0,1,1,3,4909,26,0.0,0,-1,0.0,closed
193,0,1,3,0,7694,0,0.0,0,-1,0.0,closed
194,0,0,3,3,4948,76,0.8,4,54,4.0,open
198,0,0,1,1,352,100,0.3333,1,45,0.5,open
210,0,0,1,1,352,101,0.5,2,12,1.0,closed
216,0,0,1,2,4054,37,0.75,3,56,3.0,open
217,0,0,0,1,6263,65,0.0,0,-1,0.0,open
219,0,0,1,1,612,120,0.4,0,-1,0.6667,open
224,0,1,1,3,5372,49,0.0,0,-1,0.0,closed
232,0,0,0,3,5504,32,0.75,3,60,3.0,closed
244,0,0,0,1,6263,66,0.5,1,27,1.0,open
250,0,0,0,1,6263,74,0.6667,2,6,2.0,open
258,0,0,0,1,6263,75,0.75,3,8,3.0,open
262,0,0,1,1,612,121,0.5,1,43,1.0,open
263,0,1,2,3,7962,63,0.0,0,-1,0.0,open
266,0,0,0,1,6263,83,0.8,4,8,4.0,open
270,0,0,1,1,612,125,0.5714,2,8,1.3333,open
271,0,0,0,3,2906,44,0.6,0,-1,1.5,closed
274,0,0,0,1,6263,84,0.8333,5,8,5.0,open
276,0,0,0,0,5766,17,0.5,0,-1,1.0,open
278,0,0,1,1,612,116,0.625,3,8,1.6667,closed
293,0,1,1,3,4909,24,0.0,0,-1,0.0,open
294,0,0,0,1,6263,70,0.8571,6,20,6.0,open
300,0,0,0,1,6263,79,0.875,7,6,7.0,open
393,0,0,3,3,4948,89,0.8333,5,199,5.0,open
398,0,0,1,1,352,65,0.5556,0,-1,1.25,closed
405,0,1,1,3,4909,25,0.25,1,112,0.3333,open
507,0,0,3,3,4948,84,0.8571,6,114,6.0,open
513,0,0,3,2,5360,37,0.8,4,345,4.0,open
514,0,1,3,0,4200,111,0.0,0,-1,0.0,open
517,0,0,1,2,4054,44,0.8,4,301,4.0,open
547,0,0,1,1,612,81,0.5,0,-1,1.0,closed
552,0,1,3,0,4200,110,0.25,1,38,0.3333,closed
558,0,0,2,2,6960,1,0.75,3,394,3.0,closed
584,0,1,3,0,5735,62,0.2,0,-1,0.25,open
622,0,1,3,0,5735,61,0.3333,1,38,0.5,open
628,0,1,3,0,5735,60,0.4286,2,6,0.75,closed
679,0,1,1,3,4909,23,0.4,2,274,0.6667,closed
746,0,0,3,3,4948,80,0.875,7,239,7.0,open
751,0,0,1,1,352,82,0.4545,0,-1,0.8333,closed
752,0,0,3,3,4948,81,0.8889,8,6,8.0,open
861,0,0,3,3,4948,85,0.9,9,109,9.0,open
1169,0,0,3,2,5360,35,0.8333,5,656,5.0,open
1172,0,1,3,0,4200,73,0.375,0,-1,0.6,open
1173,0,0,1,2,4054,42,0.8333,5,656,5.0,open
1179,0,0,0,1,6263,64,0.8889,8,879,8.0,open
1185,0,0,0,1,6263,73,0.9,9,6,9.0,open
1191,0,0,0,1,6263,82,0.9091,10,6,10.0,open
1209,0,0,1,1,612,119,0.4167,0,-1,0.7143,open
1210,0,1,3,0,4200,72,0.4444,1,38,0.8,closed
1250,0,0,1,1,612,127,0.4615,1,41,0.8571,closed
1363,0,0,3,3,4948,83,0.9091,10,502,10.0,open
1503,0,0,3,3,4948,78,0.9167,11,140,11.0,open
1509,0,0,3,3,4948,79,0.9231,12,6,12.0,open
1510,0,0,1,1,352,80,0.4286,0,-1,0.75,closed
1565,0,0,1,1,612,118,0.4,0,-1,0.6667,closed
1675,0,0,1,1,352,64,0.375,0,-1,0.6,open
2017,0,0,3,3,4948,77,0.9286,13,508,13.0,open
2022,0,0,1,1,352,81,0.4118,1,347,0.7,open
2159,0,0,3,3,4948,82,0.9333,14,142,14.0,open
2164,0,0,1,1,352,83,0.4444,2,142,0.8,open
2474,0,0,3,3,4948,86,0.9375,15,315,15.0,closed
2480,0,0,1,1,352,99,0.4737,3,316,0.9,open
2675,0,0,3,2,5360,34,0.8571,6,1506,6.0,open
2679,0,0,1,1,352,98,0.5,4,199,1.0,open
2685,0,0,1,2,4054,41,0.8571,6,1512,6.0,open
2689,0,0,0,1,6263,72,0.9167,11,1498,11.0,open
2715,0,0,0,1,6263,81,0.9231,12,26,12.0,open
2787,0,0,1,1,352,79,0.5238,5,108,1.1,closed
2796,0,0,1,1,612,117,0.5,0,-1,1.0,closed
3058,0,1,3,0,5735,59,0.4,0,-1,0.6667,open
