clock_cycle,channel,rank,bankgroup,bank,row,column,row_hit_rate,consec_hits,dist_from_last_hit,diff_accesses,label
19,0,0,0,0,8049,43,0.0,0,-1,0.0,open
22,0,1,2,2,6999,87,0.0,0,-1,0.0,open
23,0,0,3,3,4948,64,0.0,0,-1,0.0,open
43,0,0,0,0,8049,42,0.5,1,24,1.0,open
47,0,0,3,3,4948,103,0.5,1,24,1.0,open
59,0,1,2,2,6999,121,0.5,1,37,1.0,open
65,0,0,3,3,4948,106,0.6667,2,18,2.0,open
71,0,0,3,3,4948,105,0.75,3,6,3.0,open
77,0,1,2,2,6999,122,0.6667,2,18,2.0,open
83,0,0,3,3,4948,114,0.8,4,12,4.0,open
89,0,1,2,2,6999,123,0.75,3,12,3.0,open
95,0,0,3,3,4948,104,0.8333,5,12,5.0,open
101,0,0,3,3,4948,107,0.8571,6,6,6.0,open
107,0,1,2,2,6999,124,0.8,4,18,4.0,open
113,0,1,2,2,6999,125,0.8333,5,6,5.0,open
119,0,0,3,3,4948,109,0.875,7,18,7.0,open
125,0,0,3,3,4948,110,0.8889,8,6,8.0,open
131,0,1,2,2,6999,126,0.8571,6,18,6.0,open
164,0,0,3,3,4948,108,0.9,9,39,9.0,open
174,0,1,3,3,2521,44,0.0,0,-1,0.0,open
175,0,1,2,2,6999,95,0.875,7,44,7.0,open
181,0,1,2,2,6999,96,0.8889,8,6,8.0,open
196,0,1,3,3,2521,45,0.5,1,22,1.0,open
202,0,1,3,3,2521,46,0.6667,2,6,2.0,open
206,0,1,2,2,6999,98,0.9,9,25,9.0,open
210,0,1,3,3,2521,47,0.75,3,8,3.0,open
214,0,1,2,2,6999,99,0.9091,10,8,10.0,open
230,0,1,2,2,6999,100,0.9167,11,16,11.0,open
234,0,1,3,3,2521,48,0.8,4,24,4.0,open
238,0,1,2,2,6999,101,0.9231,12,8,12.0,open
242,0,1,3,3,2521,49,0.8333,5,8,5.0,open
246,0,1,2,2,6999,102,0.9286,13,8,13.0,open
250,0,1,3,3,2521,50,0.8571,6,8,6.0,open
254,0,1,2,2,6999,103,0.9333,14,8,14.0,open
258,0,1,3,3,2521,51,0.875,7,8,7.0,open
262,0,1,2,2,6999,104,0.9375,15,8,15.0,open
268,0,1,2,2,6999,105,0.9412,16,6,16.0,open
273,0,1,3,3,2521,52,0.8889,8,15,8.0,open
277,0,1,2,2,6999,106,0.9444,17,9,17.0,open
283,0,1,2,2,6999,107,0.9474,18,6,18.0,open
287,0,1,3,3,2521,53,0.9,9,14,9.0,open
291,0,1,2,2,6999,108,0.95,19,8,19.0,open
295,0,1,3,3,2521,54,0.9091,10,8,10.0,open
299,0,1,2,2,6999,109,0.9524,20,8,20.0,open
305,0,1,2,2,6999,110,0.9545,21,6,21.0,open
311,0,1,2,2,6999,111,0.9565,22,6,22.0,open
316,0,1,3,3,2521,55,0.9167,11,21,11.0,open
320,0,1,2,2,6999,112,0.9583,23,9,23.0,open
326,0,1,2,2,6999,113,0.96,24,6,24.0,open
332,0,1,2,2,6999,114,0.9615,25,6,25.0,open
338,0,1,2,2,6999,115,0.963,26,6,26.0,open
342,0,1,3,3,2521,56,0.9231,12,26,12.0,open
346,0,1,2,2,6999,116,0.9643,27,8,27.0,open
350,0,1,3,3,2521,57,0.9286,13,8,13.0,open
354,0,1,2,2,6999,117,0.9655,28,8,28.0,open
359,0,1,3,3,2521,58,0.9333,14,9,14.0,open
363,0,1,2,2,6999,118,0.9667,29,9,29.0,open
372,0,1,2,2,6999,119,0.9677,30,9,30.0,open
376,0,1,3,3,2521,59,0.9375,15,17,15.0,open
380,0,1,2,2,6999,120,0.9688,31,8,31.0,open
384,0,1,3,3,2521,23,0.9412,16,8,16.0,open
389,0,1,2,2,6999,127,0.9697,32,9,32.0,open
393,0,1,3,3,2521,60,0.9444,17,9,17.0,open
399,0,1,3,3,2521,22,0.9474,18,6,18.0,open
405,0,1,3,3,2521,21,0.95,19,6,19.0,open
411,0,1,3,3,2521,61,0.9524,20,6,20.0,open
417,0,1,3,3,2521,29,0.9545,21,6,21.0,open
423,0,1,3,3,2521,30,0.9565,22,6,22.0,open
429,0,1,3,3,2521,19,0.9583,23,6,23.0,open
435,0,1,3,3,2521,25,0.96,24,6,24.0,open
441,0,1,3,3,2521,62,0.9615,25,6,25.0,open
447,0,1,3,3,2521,27,0.963,26,6,26.0,open
461,0,0,3,3,4948,65,0.9091,10,297,10.0,open
469,0,1,3,3,2521,63,0.9643,27,22,27.0,open
475,0,0,3,3,4948,116,0.9167,11,14,11.0,open
479,0,0,0,0,8049,41,0.6667,2,436,2.0,open
483,0,0,3,3,4948,115,0.9231,12,8,12.0,open
489,0,1,3,3,2521,15,0.9655,28,20,28.0,open
495,0,0,3,3,4948,117,0.9286,13,12,13.0,open
500,0,0,0,0,8049,40,0.75,3,21,3.0,open
506,0,1,2,2,6999,88,0.9706,33,117,33.0,open
514,0,0,3,2,5360,4,0.0,0,-1,0.0,open
518,0,0,0,0,8049,44,0.8,4,18,4.0,open
534,0,0,0,0,8049,45,0.8333,5,16,5.0,open
540,0,0,0,0,8049,46,0.8571,6,6,6.0,open
547,0,0,0,0,8049,47,0.875,7,7,7.0,open
570,0,0,0,0,8049,48,0.8889,8,23,8.0,open
576,0,0,0,0,8049,49,0.9,9,6,9.0,open
582,0,0,0,0,8049,50,0.9091,10,6,10.0,open
588,0,0,0,0,8049,51,0.9167,11,6,11.0,open
594,0,1,2,2,6999,90,0.9714,34,88,34.0,open
600,0,0,0,0,8049,39,0.9231,12,12,12.0,open
609,0,1,2,2,6999,94,0.9722,35,15,35.0,open
615,0,0,0,0,8049,38,0.9286,13,15,13.0,open
621,0,1,2,2,6999,89,0.973,36,12,36.0,open
622,0,0,1,2,4054,34,0.0,0,-1,0.0,open
627,0,0,0,0,8049,52,0.9333,14,12,14.0,open
644,0,0,1,2,4054,33,0.5,1,22,1.0,open
650,0,0,1,2,4054,32,0.6667,2,6,2.0,open
654,0,0,0,0,8049,53,0.9375,15,27,15.0,open
676,0,0,0,0,8049,54,0.9412,16,22,16.0,open
684,0,0,0,0,8049,55,0.9444,17,8,17.0,open
693,0,0,0,0,8049,56,0.9474,18,9,18.0,open
728,0,0,0,0,8049,37,0.95,19,35,19.0,open
