clock_cycle,channel,rank,bankgroup,bank,row,column,row_hit_rate,consec_hits,dist_from_last_hit,diff_accesses,label
20,0,0,0,0,8049,28,0.0,0,-1,0.0,open
24,0,1,2,2,6999,87,0.0,0,-1,0.0,open
25,0,0,3,3,4948,64,0.0,0,-1,0.0,open
45,0,0,0,0,8049,27,0.5,1,25,1.0,open
49,0,0,3,3,4948,103,0.5,1,24,1.0,open
61,0,1,2,2,6999,121,0.5,1,37,1.0,open
67,0,0,3,3,4948,106,0.6667,2,18,2.0,open
73,0,0,3,3,4948,105,0.75,3,6,3.0,open
79,0,1,2,2,6999,122,0.6667,2,18,2.0,open
85,0,0,3,3,4948,114,0.8,4,12,4.0,open
91,0,1,2,2,6999,123,0.75,3,12,3.0,open
97,0,0,3,3,4948,104,0.8333,5,12,5.0,open
103,0,0,3,3,4948,107,0.8571,6,6,6.0,open
109,0,1,2,2,6999,124,0.8,4,18,4.0,open
115,0,1,2,2,6999,125,0.8333,5,6,5.0,open
121,0,0,3,3,4948,109,0.875,7,18,7.0,open
127,0,0,3,3,4948,110,0.8889,8,6,8.0,open
133,0,1,2,2,6999,126,0.8571,6,18,6.0,open
153,0,0,3,3,4948,108,0.9,9,26,9.0,open
173,0,1,3,3,2521,44,0.0,0,-1,0.0,open
175,0,1,2,2,6999,95,0.875,7,42,7.0,open
181,0,1,2,2,6999,96,0.8889,8,6,8.0,open
195,0,1,3,3,2521,45,0.5,1,22,1.0,open
201,0,1,3,3,2521,46,0.6667,2,6,2.0,open
227,0,1,2,2,6999,98,0.9,9,46,9.0,open
231,0,1,3,3,2521,47,0.75,3,30,3.0,open
235,0,1,2,2,6999,99,0.9091,10,8,10.0,open
239,0,1,3,3,2521,48,0.8,4,8,4.0,open
243,0,1,2,2,6999,100,0.9167,11,8,11.0,open
247,0,1,3,3,2521,49,0.8333,5,8,5.0,open
251,0,1,2,2,6999,101,0.9231,12,8,12.0,open
255,0,1,3,3,2521,50,0.8571,6,8,6.0,open
259,0,1,2,2,6999,102,0.9286,13,8,13.0,open
265,0,1,2,2,6999,103,0.9333,14,6,14.0,open
271,0,1,2,2,6999,104,0.9375,15,6,15.0,open
277,0,1,2,2,6999,105,0.9412,16,6,16.0,open
282,0,1,3,3,2521,51,0.875,7,27,7.0,open
