clock_cycle,channel,rank,bankgroup,bank,row,column,row_hit_rate,consec_hits,dist_from_last_hit,diff_accesses,label
19,0,0,0,0,8049,6,0.0,0,-1,0.0,open
23,0,1,2,2,6999,87,0.0,0,-1,0.0,open
24,0,0,3,3,4948,64,0.0,0,-1,0.0,open
52,0,1,2,2,6999,121,0.5,1,29,1.0,open
58,0,0,3,3,4948,103,0.5,1,34,1.0,open
64,0,0,3,3,4948,106,0.6667,2,6,2.0,open
70,0,0,3,3,4948,105,0.75,3,6,3.0,open
76,0,1,2,2,6999,122,0.6667,2,24,2.0,open
82,0,0,3,3,4948,114,0.8,4,12,4.0,open
88,0,1,2,2,6999,123,0.75,3,12,3.0,open
94,0,0,3,3,4948,104,0.8333,5,12,5.0,open
100,0,0,3,3,4948,107,0.8571,6,6,6.0,open
106,0,1,2,2,6999,124,0.8,4,18,4.0,open
112,0,1,2,2,6999,125,0.8333,5,6,5.0,open
118,0,0,3,3,4948,109,0.875,7,18,7.0,open
124,0,0,3,3,4948,110,0.8889,8,6,8.0,open
130,0,1,2,2,6999,126,0.8571,6,18,6.0,open
168,0,0,3,3,4948,108,0.9,9,44,9.0,open
175,0,1,3,3,2521,44,0.0,0,-1,0.0,open
177,0,1,2,2,6999,95,0.875,7,47,7.0,open
183,0,1,2,2,6999,96,0.8889,8,6,8.0,open
197,0,1,3,3,2521,45,0.5,1,22,1.0,open
208,0,1,3,3,2521,46,0.6667,2,11,2.0,open
230,0,1,2,2,6999,98,0.9,9,47,9.0,open
234,0,1,3,3,2521,47,0.75,3,26,3.0,open
238,0,1,2,2,6999,99,0.9091,10,8,10.0,open
242,0,1,3,3,2521,48,0.8,4,8,4.0,open
246,0,1,2,2,6999,100,0.9167,11,8,11.0,open
250,0,1,3,3,2521,49,0.8333,5,8,5.0,open
254,0,1,2,2,6999,101,0.9231,12,8,12.0,open
260,0,1,2,2,6999,102,0.9286,13,6,13.0,open
269,0,1,2,2,6999,103,0.9333,14,9,14.0,open
273,0,1,3,3,2521,50,0.8571,6,23,6.0,open
277,0,1,2,2,6999,104,0.9375,15,8,15.0,open
283,0,1,2,2,6999,105,0.9412,16,6,16.0,open
287,0,1,3,3,2521,51,0.875,7,14,7.0,open
291,0,1,2,2,6999,106,0.9444,17,8,17.0,open
295,0,1,3,3,2521,52,0.8889,8,8,8.0,open
299,0,1,2,2,6999,107,0.9474,18,8,18.0,open
303,0,1,3,3,2521,53,0.9,9,8,9.0,open
307,0,1,2,2,6999,108,0.95,19,8,19.0,open
313,0,1,2,2,6999,109,0.9524,20,6,20.0,open
317,0,1,3,3,2521,54,0.9091,10,14,10.0,open
321,0,1,2,2,6999,110,0.9545,21,8,21.0,open
329,0,1,2,2,6999,111,0.9565,22,8,22.0,open
333,0,1,3,3,2521,55,0.9167,11,16,11.0,open
337,0,1,2,2,6999,112,0.9583,23,8,23.0,open
343,0,1,2,2,6999,113,0.96,24,6,24.0,open
348,0,1,3,3,2521,56,0.9231,12,15,12.0,open
352,0,1,2,2,6999,114,0.9615,25,9,25.0,open
356,0,1,3,3,2521,57,0.9286,13,8,13.0,open
360,0,1,2,2,6999,115,0.963,26,8,26.0,open
366,0,1,2,2,6999,116,0.9643,27,6,27.0,open
372,0,1,2,2,6999,117,0.9655,28,6,28.0,open
376,0,1,3,3,2521,58,0.9333,14,20,14.0,open
380,0,1,2,2,6999,118,0.9667,29,8,29.0,open
392,0,1,2,2,6999,119,0.9677,30,12,30.0,open
398,0,1,3,3,2521,59,0.9375,15,22,15.0,open
402,0,1,2,2,6999,120,0.9688,31,10,31.0,open
406,0,1,3,3,2521,23,0.9412,16,8,16.0,open
410,0,1,2,2,6999,127,0.9697,32,8,32.0,open
414,0,1,3,3,2521,60,0.9444,17,8,17.0,open
420,0,1,3,3,2521,22,0.9474,18,6,18.0,open
426,0,1,3,3,2521,21,0.95,19,6,19.0,open
432,0,1,3,3,2521,61,0.9524,20,6,20.0,open
438,0,1,3,3,2521,29,0.9545,21,6,21.0,open
444,0,1,3,3,2521,30,0.9565,22,6,22.0,open
450,0,1,3,3,2521,19,0.9583,23,6,23.0,open
456,0,1,3,3,2521,25,0.96,24,6,24.0,open
462,0,1,3,3,2521,62,0.9615,25,6,25.0,open
