clock_cycle,channel,rank,bankgroup,bank,row,column,row_hit_rate,consec_hits,dist_from_last_hit,diff_accesses,label
19,0,0,0,0,8049,29,0.0,0,-1,0.0,open
22,0,1,2,2,6999,87,0.0,0,-1,0.0,open
23,0,0,3,3,4948,64,0.0,0,-1,0.0,open
43,0,0,0,0,8049,28,0.5,1,24,1.0,open
47,0,0,3,3,4948,103,0.5,1,24,1.0,open
59,0,1,2,2,6999,121,0.5,1,37,1.0,open
65,0,0,3,3,4948,106,0.6667,2,18,2.0,open
71,0,0,3,3,4948,105,0.75,3,6,3.0,open
77,0,1,2,2,6999,122,0.6667,2,18,2.0,open
83,0,0,3,3,4948,114,0.8,4,12,4.0,open
89,0,1,2,2,6999,123,0.75,3,12,3.0,open
95,0,0,3,3,4948,104,0.8333,5,12,5.0,open
101,0,0,3,3,4948,107,0.8571,6,6,6.0,open
107,0,1,2,2,6999,124,0.8,4,18,4.0,open
113,0,1,2,2,6999,125,0.8333,5,6,5.0,open
119,0,0,3,3,4948,109,0.875,7,18,7.0,open
125,0,0,3,3,4948,110,0.8889,8,6,8.0,open
131,0,1,2,2,6999,126,0.8571,6,18,6.0,open
157,0,0,3,3,4948,108,0.9,9,32,9.0,open
172,0,1,3,3,2521,44,0.0,0,-1,0.0,open
175,0,1,2,2,6999,95,0.875,7,44,7.0,open
181,0,1,2,2,6999,96,0.8889,8,6,8.0,open
194,0,1,3,3,2521,45,0.5,1,22,1.0,open
200,0,1,3,3,2521,46,0.6667,2,6,2.0,open
231,0,1,2,2,6999,98,0.9,9,50,9.0,open
235,0,1,3,3,2521,47,0.75,3,35,3.0,open
239,0,1,2,2,6999,99,0.9091,10,8,10.0,open
243,0,1,3,3,2521,48,0.8,4,8,4.0,open
247,0,1,2,2,6999,100,0.9167,11,8,11.0,open
251,0,1,3,3,2521,49,0.8333,5,8,5.0,open
255,0,1,2,2,6999,101,0.9231,12,8,12.0,open
259,0,1,3,3,2521,50,0.8571,6,8,6.0,open
263,0,1,2,2,6999,102,0.9286,13,8,13.0,open
269,0,1,2,2,6999,103,0.9333,14,6,14.0,open
275,0,1,2,2,6999,104,0.9375,15,6,15.0,open
280,0,1,3,3,2521,51,0.875,7,21,7.0,open
284,0,1,2,2,6999,105,0.9412,16,9,16.0,open
288,0,1,3,3,2521,52,0.8889,8,8,8.0,open
292,0,1,2,2,6999,106,0.9444,17,8,17.0,open
298,0,1,2,2,6999,107,0.9474,18,6,18.0,open
302,0,1,3,3,2521,53,0.9,9,14,9.0,open
306,0,1,2,2,6999,108,0.95,19,8,19.0,open
312,0,1,2,2,6999,109,0.9524,20,6,20.0,open
330,0,1,3,3,2521,54,0.9091,10,28,10.0,open
334,0,1,2,2,6999,110,0.9545,21,22,21.0,open
340,0,1,2,2,6999,111,0.9565,22,6,22.0,open
345,0,1,3,3,2521,55,0.9167,11,15,11.0,open
349,0,1,2,2,6999,112,0.9583,23,9,23.0,open
353,0,1,3,3,2521,56,0.9231,12,8,12.0,open
357,0,1,2,2,6999,113,0.96,24,8,24.0,open
361,0,1,3,3,2521,57,0.9286,13,8,13.0,open
365,0,1,2,2,6999,114,0.9615,25,8,25.0,open
371,0,1,2,2,6999,115,0.963,26,6,26.0,open
377,0,1,2,2,6999,116,0.9643,27,6,27.0,open
381,0,1,3,3,2521,58,0.9333,14,20,14.0,open
385,0,1,2,2,6999,117,0.9655,28,8,28.0,open
391,0,1,2,2,6999,118,0.9667,29,6,29.0,open
403,0,1,2,2,6999,119,0.9677,30,12,30.0,open
407,0,1,3,3,2521,59,0.9375,15,26,15.0,open
411,0,1,2,2,6999,120,0.9688,31,8,31.0,open
415,0,1,3,3,2521,23,0.9412,16,8,16.0,open
419,0,1,2,2,6999,127,0.9697,32,8,32.0,open
423,0,1,3,3,2521,60,0.9444,17,8,17.0,open
429,0,1,3,3,2521,22,0.9474,18,6,18.0,open
435,0,1,3,3,2521,21,0.95,19,6,19.0,open
447,0,1,3,3,2521,61,0.9524,20,12,20.0,open
453,0,1,3,3,2521,29,0.9545,21,6,21.0,open
459,0,1,3,3,2521,30,0.9565,22,6,22.0,open
465,0,1,3,3,2521,19,0.9583,23,6,23.0,open
471,0,1,3,3,2521,25,0.96,24,6,24.0,open
477,0,1,3,3,2521,62,0.9615,25,6,25.0,open
498,0,1,3,3,2521,27,0.963,26,21,26.0,open
504,0,0,3,3,4948,65,0.9091,10,347,10.0,open
508,0,0,0,0,8049,27,0.6667,2,465,2.0,open
512,0,0,3,3,4948,116,0.9167,11,8,11.0,open
518,0,1,3,3,2521,63,0.9643,27,20,27.0,open
524,0,1,3,3,2521,15,0.9655,28,6,28.0,open
530,0,0,3,3,4948,115,0.9231,12,18,12.0,open
536,0,0,3,3,4948,117,0.9286,13,6,13.0,open
559,0,1,2,2,6999,88,0.9706,33,140,33.0,open
563,0,0,3,2,5360,4,0.0,0,-1,0.0,open
568,0,0,0,0,8049,30,0.75,3,60,3.0,open
574,0,0,0,0,8049,31,0.8,4,6,4.0,open
583,0,0,0,0,8049,32,0.8333,5,9,5.0,open
589,0,0,0,0,8049,33,0.8571,6,6,6.0,open
595,0,0,0,0,8049,34,0.875,7,6,7.0,open
601,0,0,0,0,8049,35,0.8889,8,6,8.0,open
618,0,0,0,0,8049,36,0.9,9,17,9.0,open
629,0,0,0,0,8049,37,0.9091,10,11,10.0,open
639,0,0,0,0,8049,38,0.9167,11,10,11.0,open
645,0,1,2,2,6999,90,0.9714,34,86,34.0,open
651,0,0,0,0,8049,26,0.9231,12,12,12.0,open
657,0,0,0,0,8049,25,0.9286,13,6,13.0,open
663,0,1,2,2,6999,94,0.9722,35,18,35.0,open
669,0,1,2,2,6999,89,0.973,36,6,36.0,open
672,0,0,1,2,4054,34,0.0,0,-1,0.0,open
678,0,0,0,0,8049,39,0.9333,14,21,14.0,open
694,0,0,1,2,4054,33,0.5,1,22,1.0,open
703,0,0,1,2,4054,32,0.6667,2,9,2.0,open
707,0,0,0,0,8049,40,0.9375,15,29,15.0,open
726,0,0,0,0,8049,41,0.9412,16,19,16.0,open
734,0,0,0,0,8049,42,0.9444,17,8,17.0,open
749,0,0,0,0,8049,43,0.9474,18,15,18.0,open
780,0,0,0,0,8049,24,0.95,19,31,19.0,open
787,0,0,0,0,8049,56,0.9524,20,7,20.0,open
793,0,0,0,0,8049,23,0.9545,21,6,21.0,open
796,0,0,2,2,6960,48,0.0,0,-1,0.0,open
820,0,0,2,2,6960,50,0.5,1,24,1.0,open
829,0,0,2,2,6960,51,0.6667,2,9,2.0,open
835,0,0,2,2,6960,52,0.75,3,6,3.0,open
859,0,0,2,2,6960,53,0.8,4,24,4.0,open
865,0,0,2,2,6960,54,0.8333,5,6,5.0,open
871,0,0,2,2,6960,55,0.8571,6,6,6.0,open
877,0,0,2,2,6960,56,0.875,7,6,7.0,open
881,0,0,0,0,8049,57,0.9565,22,88,22.0,open
949,0,0,0,0,8049,59,0.9583,23,68,23.0,open
1065,0,0,0,0,8049,60,0.96,24,116,24.0,open
1183,0,0,0,0,8049,61,0.9615,25,118,25.0,open
1192,0,0,2,2,6960,47,0.8889,8,315,8.0,open
1306,0,0,0,0,8049,62,0.963,26,123,26.0,open
1415,0,0,0,0,8049,63,0.9643,27,109,27.0,open
1580,0,1,3,0,5735,0,0.0,0,-1,0.0,open
1654,0,1,3,0,5735,1,0.5,1,74,1.0,open
1778,0,1,3,0,5735,2,0.6667,2,124,2.0,open
1896,0,1,3,0,5735,3,0.75,3,118,3.0,open
2017,0,1,3,0,5735,4,0.8,4,121,4.0,open
2085,0,1,3,0,5735,5,0.8333,5,68,5.0,open
2326,0,1,3,0,5735,6,0.8571,6,241,6.0,open
2392,0,1,3,0,5735,29,0.875,7,66,7.0,open
2401,0,1,3,0,5735,30,0.8889,8,9,8.0,open
2565,0,1,3,0,5735,31,0.9,9,164,9.0,open
2571,0,1,3,0,5735,32,0.9091,10,6,10.0,open
2694,0,1,3,0,5735,33,0.9167,11,123,11.0,open
2814,0,1,3,0,5735,34,0.9231,12,120,12.0,open
3013,0,1,3,0,5735,35,0.9286,13,199,13.0,open
3186,0,1,3,0,5735,36,0.9333,14,173,14.0,open
3295,0,1,3,0,5735,37,0.9375,15,109,15.0,open
3401,0,1,3,0,5735,38,0.9412,16,106,16.0,open
3507,0,1,3,0,5735,39,0.9444,17,106,17.0,open
3567,0,1,3,0,5735,42,0.9474,18,60,18.0,open
3687,0,1,3,0,5735,43,0.95,19,120,19.0,open
3749,0,1,3,0,5735,44,0.9524,20,62,20.0,open
3810,0,1,3,0,5735,45,0.9545,21,61,21.0,open
3885,0,1,3,0,5735,46,0.9565,22,75,22.0,open
3897,0,1,3,0,5735,47,0.9583,23,12,23.0,open
3960,0,1,3,0,5735,51,0.96,24,63,24.0,open
4033,0,1,3,0,5735,55,0.9615,25,73,25.0,open
4040,0,1,3,0,5735,56,0.963,26,7,26.0,open
4107,0,1,3,0,5735,59,0.9643,27,67,27.0,open
4186,0,1,3,0,5735,62,0.9655,28,79,28.0,closed
4267,0,1,2,2,6999,91,0.9737,37,3598,37.0,open
4314,0,1,2,2,6999,92,0.9744,38,47,38.0,open
4357,0,0,3,2,5360,3,0.5,1,3794,1.0,open
4363,0,0,3,3,4948,127,0.9333,14,3827,14.0,open
4367,0,0,0,0,8049,18,0.9655,28,2952,28.0,open
4371,0,0,3,3,4948,126,0.9375,15,8,15.0,open
4375,0,0,0,0,8049,19,0.9667,29,8,29.0,open
4379,0,0,3,3,4948,125,0.9412,16,8,16.0,open
4383,0,0,0,0,8049,17,0.9677,30,8,30.0,open
4463,0,0,1,2,4054,0,0.75,3,3760,3.0,open
4469,0,1,2,2,6999,85,0.975,39,155,39.0,open
4510,0,1,2,2,6999,84,0.9756,40,41,40.0,open
4516,0,0,0,0,8049,16,0.9688,31,133,31.0,open
4522,0,0,0,0,8049,15,0.9697,32,6,32.0,open
4549,0,0,3,2,5360,6,0.6667,2,192,2.0,open
4555,0,0,3,2,5360,17,0.75,3,6,3.0,open
4559,0,0,2,2,6960,13,0.9,9,3367,9.0,open
4563,0,0,3,2,5360,7,0.8,4,8,4.0,open
4569,0,0,3,2,5360,28,0.8333,5,6,5.0,open
4575,0,0,3,2,5360,18,0.8571,6,6,6.0,open
4581,0,0,3,2,5360,21,0.875,7,6,7.0,open
4587,0,0,3,2,5360,24,0.8889,8,6,8.0,open
4593,0,0,3,2,5360,25,0.9,9,6,9.0,open
4599,0,0,3,2,5360,26,0.9091,10,6,10.0,open
4605,0,0,3,2,5360,27,0.9167,11,6,11.0,open
4611,0,0,3,2,5360,20,0.9231,12,6,12.0,open
4617,0,0,3,2,5360,19,0.9286,13,6,13.0,open
4623,0,0,3,2,5360,16,0.9333,14,6,14.0,open
4632,0,0,3,3,4948,102,0.9444,17,253,17.0,open
4659,0,0,1,1,487,116,0.0,0,-1,0.0,closed
4664,0,0,0,3,5504,1,0.0,0,-1,0.0,open
4665,0,0,1,2,4054,1,0.8,4,202,4.0,open
4679,0,0,3,2,5360,1,0.9375,15,56,15.0,open
4689,0,0,0,3,5504,2,0.5,1,25,1.0,open
4695,0,0,0,3,5504,3,0.6667,2,6,2.0,open
4717,0,0,0,3,5504,4,0.75,3,22,3.0,open
4726,0,0,0,3,5504,5,0.8,4,9,4.0,open
4735,0,0,0,3,5504,6,0.8333,5,9,5.0,open
4741,0,0,0,3,5504,7,0.8571,6,6,6.0,open
4759,0,0,0,3,5504,12,0.875,7,18,7.0,open
4765,0,0,0,3,5504,13,0.8889,8,6,8.0,open
4777,0,0,0,3,5504,8,0.9,9,12,9.0,open
4783,0,0,0,3,5504,9,0.9091,10,6,10.0,open
4789,0,0,0,3,5504,10,0.9167,11,6,11.0,open
4797,0,0,0,3,5504,11,0.9231,12,8,12.0,open
4805,0,0,3,2,5360,23,0.9412,16,126,16.0,open
4811,0,0,3,2,5360,22,0.9444,17,6,17.0,open
4817,0,1,3,3,2521,39,0.9667,29,4293,29.0,open
4823,0,0,3,2,5360,0,0.9474,18,12,18.0,open
4828,0,0,1,1,352,115,0.0,0,-1,0.0,open
4851,0,0,3,2,5360,8,0.95,19,28,19.0,open
4857,0,0,3,2,5360,10,0.9524,20,6,20.0,open
4865,0,0,3,2,5360,9,0.9545,21,8,21.0,open
4869,0,0,1,1,352,116,0.3333,1,41,0.5,open
4875,0,0,1,1,352,117,0.5,2,6,1.0,open
4881,0,0,1,1,352,118,0.6,3,6,1.5,open
4887,0,0,1,1,352,119,0.6667,4,6,2.0,open
4893,0,0,1,1,352,120,0.7143,5,6,2.5,open
4908,0,0,1,1,352,121,0.75,6,15,3.0,open
4912,0,0,3,2,5360,11,0.9565,22,47,22.0,open
4916,0,0,1,1,352,122,0.7778,7,8,3.5,open
4920,0,0,3,2,5360,12,0.9583,23,8,23.0,open
4924,0,0,1,1,352,123,0.8,8,8,4.0,closed
4928,0,0,3,2,5360,13,0.96,24,8,24.0,open
4974,0,0,0,3,5504,14,0.9286,13,177,13.0,open
5023,0,0,3,2,5360,29,0.9615,25,95,25.0,open
5029,0,0,3,2,5360,40,0.963,26,6,26.0,open
5035,0,0,3,2,5360,47,0.9643,27,6,27.0,open
5041,0,0,3,2,5360,41,0.9655,28,6,28.0,open
5047,0,0,3,2,5360,44,0.9667,29,6,29.0,open
5053,0,0,3,2,5360,43,0.9677,30,6,30.0,open
5059,0,0,3,2,5360,42,0.9688,31,6,31.0,open
5074,0,1,3,0,7694,0,0.9333,0,-1,14.0,open
5075,0,0,3,2,5360,39,0.9697,32,16,32.0,open
5103,0,0,3,2,5360,31,0.9706,33,28,33.0,open
5115,0,1,3,0,7694,1,0.9355,1,41,14.5,open
5121,0,1,3,0,7694,2,0.9375,2,6,15.0,open
5127,0,1,3,0,7694,3,0.9394,3,6,15.5,open
5133,0,1,3,0,7694,15,0.9412,4,6,16.0,open
5139,0,0,3,2,5360,32,0.9714,34,36,34.0,open
5147,0,1,3,0,7694,16,0.9429,5,14,16.5,open
5153,0,0,3,2,5360,30,0.9722,35,14,35.0,open
5159,0,1,3,0,7694,17,0.9444,6,12,17.0,open
5165,0,0,3,2,5360,34,0.973,36,12,36.0,open
5171,0,1,3,0,7694,18,0.9459,7,12,17.5,open
5177,0,0,3,2,5360,33,0.9737,37,12,37.0,open
5183,0,0,3,2,5360,36,0.9744,38,6,38.0,open
5193,0,1,2,2,6999,86,0.9762,41,683,41.0,open
5227,0,1,3,0,7694,5,0.9474,8,56,18.0,open
5239,0,1,3,0,7694,13,0.9487,9,12,18.5,open
